stage,epoch,train_loss,val_loss,train_acc,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn,val_threshold,val_roc_auc,val_pr_auc
1,1,0.21546985453414352,0.15925031270054604,0.8572134387351779,0.8676258992805755,0.9874055415617129,0.8183716075156576,0.9768518518518519,0.8949771689497716,392,211,5,87,0.5,0.9727973014768422,0.9882887267808871
1,2,0.1400022330609235,0.1323425079635579,0.9034090909090909,0.8920863309352518,0.9879227053140096,0.8538622129436325,0.9768518518518519,0.916013437849944,409,211,5,70,0.5,0.9770403232042062,0.9902023847123465
1,3,0.12382484809035368,0.1273470800986393,0.9145256916996047,0.8949640287769784,0.9879807692307693,0.8580375782881002,0.9768518518518519,0.9184357541899442,411,211,5,68,0.5,0.9784369442511407,0.9908324036461891
2,1,0.15842476056469051,0.08612607781835598,0.8727766798418972,0.9366906474820144,0.9931972789115646,0.9144050104384134,0.9861111111111112,0.9521739130434783,438,213,3,41,0.5,0.9894262738730379,0.9954811815925462
2,2,0.08450309211469215,0.0678729281633449,0.9404644268774703,0.943884892086331,0.9954954954954955,0.9227557411273486,0.9907407407407407,0.9577464788732394,442,214,2,37,0.5,0.993533982834609,0.9972232264791018
2,3,0.06356185730620335,0.06508186307983647,0.9525691699604744,0.943884892086331,1.0,0.918580375782881,1.0,0.9575625680087051,440,216,0,39,0.5,0.9953752029691488,0.9979999185881073
2,4,0.05552350416348827,0.04423064573152031,0.9599802371541502,0.9611510791366906,0.9934497816593887,0.9498956158663883,0.9861111111111112,0.9711846318036286,455,213,3,24,0.5,0.9965688548673935,0.9985033137316491
2,5,0.05084158247520801,0.0419107647492088,0.9671442687747036,0.9654676258992806,0.9934924078091106,0.9561586638830898,0.9861111111111112,0.9744680851063829,458,213,3,21,0.5,0.9971149385293434,0.9987362628227199
2,6,0.041669041150260586,0.0424222858823675,0.9708498023715415,0.962589928057554,0.9978021978021978,0.9478079331941545,0.9953703703703703,0.9721627408993576,454,215,1,25,0.5,0.9973855640609294,0.9988472608562866
2,7,0.03659101219464962,0.04359666104126963,0.9767786561264822,0.958273381294964,0.9977876106194691,0.941544885177453,0.9953703703703703,0.9688506981740065,451,215,1,28,0.5,0.9975015464316092,0.9989086289953379
2,8,0.03769935659646414,0.04735665129323443,0.9760375494071146,0.9539568345323741,0.9977728285077951,0.9352818371607515,0.9953703703703703,0.9655172413793104,448,215,1,31,0.5,0.9974483878450475,0.998908766793657
2,9,0.03384165250808516,0.03313443333332648,0.9777667984189723,0.9669064748201439,0.9935064935064936,0.9582463465553236,0.9861111111111112,0.975557917109458,459,213,3,20,0.5,0.9977286785741901,0.9990274095960805
2,10,0.033500999566112376,0.03321107769344779,0.9757905138339921,0.9784172661870504,0.9957264957264957,0.9728601252609603,0.9907407407407407,0.9841605068637803,466,214,2,13,0.5,0.9974338900487125,0.9989348874108418
2,11,0.025562338324184548,0.030900716752135498,0.9836956521739131,0.9755395683453237,0.9957081545064378,0.9686847599164927,0.9907407407407407,0.982010582010582,464,214,2,15,0.5,0.9978349957473132,0.9990740573610808
2,12,0.024484416681365754,0.040451107284375766,0.9844367588932806,0.962589928057554,0.9978021978021978,0.9478079331941545,0.9953703703703703,0.9721627408993576,454,215,1,25,0.5,0.9973130750792546,0.9988825638588923
